"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009165","nucleotide biosynthetic process","16/369","218/16221",0.073394495412844,3.22637428209144,5.04919678464665,4.06154426293548e-05,0.00570993686135613,0.00570993686135613,"NME1/IMPDH2/ATP5MF/ATP5F1C/NDUFAB1/GUCY1B1/KARS1/ATP5IF1/NDUFS7/ATP5F1B/ATP5MJ/NDUFA9/NME7/NDUFA7/SDHB/NMNAT2",16
"GO:0007006","mitochondrial membrane organization","8/369","58/16221",0.137931034482759,6.06335856462013,5.89370331245088,4.71976840635396e-05,0.00647732026052958,0.00647732026052958,"SAMM50/IMMT/TOMM70/APOO/GHITM/MICU1/CHCHD6/MTX2",8
"GO:0006754","ATP biosynthetic process","10/369","93/16221",0.10752688172043,4.72681178424688,5.49901941663258,4.96028043403868e-05,0.00664908288879046,0.00664908288879046,"ATP5MF/ATP5F1C/NDUFAB1/ATP5IF1/NDUFS7/ATP5F1B/ATP5MJ/NDUFA9/NDUFA7/SDHB",10
"GO:0010499","proteasomal ubiquitin-independent protein catabolic process","5/369","19/16221",0.263157894736842,11.5682498930252,7.0322149422988,5.29987258584401e-05,0.00694283308745566,0.00694283308745566,"PSMA1/PSMB2/PSMB7/ENC1/PSMB3",5
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","11/369","116/16221",0.0948275862068965,4.16855901317634,5.22524918663322,6.76773739796294e-05,0.00866871963596853,0.00866871963596853,"NSG2/GPHN/SST/CALY/RAB11A/ERBIN/EPB41L3/RABEP1/VPS35/AP2S1/OLFM1",11
"GO:0099504","synaptic vesicle cycle","15/369","206/16221",0.0728155339805825,3.20092351408951,4.85033421791871,7.70180845768147e-05,0.00965070085871217,0.00965070085871217,"DNM3/ATP6V1H/ATP6V1E1/SNAP25/SYT13/CADPS/ATP6V1B2/ATP6V1F/AP3M2/PREPL/SV2B/SNCA/AP2S1/AMPH/ATP6V1G2",15
"GO:1901293","nucleoside phosphate biosynthetic process","19/369","308/16221",0.0616883116883117,2.71177805933904,4.62746730079019,8.57073426543517e-05,0.0105110026182911,0.0105110026182911,"NME1/IMPDH2/ATP5MF/ATP5F1C/ACOT7/NDUFAB1/GUCY1B1/KARS1/ATP5IF1/NDUFS7/ATP5F1B/ATP5MJ/PDK3/NDUFA9/ACACB/NME7/NDUFA7/SDHB/NMNAT2",19
"GO:0090150","establishment of protein localization to membrane","17/369","258/16221",0.0658914728682171,2.89654629104431,4.68503262812985,9.06579928658702e-05,0.0108865139766432,0.0108865139766432,"REEP1/SRP54/SAMM50/PAK1/TOMM70/BRAF/NOMO1/RABGEF1/TRAM1L1/WNK1/EMC4/EMC3/RAB11A/PREPL/MTX2/NSF/VPS35",17
"GO:1990778","protein localization to cell periphery","20/369","339/16221",0.0589970501474926,2.59347195241864,4.52364226475481,0.000103431930878975,0.012166972440539,0.012166972440539,"DPP6/CLTC/STX8/CACNB2/PRKCZ/GPER1/GPHN/PACS2/EZR/WNK1/KCNIP4/RAB11A/PREPL/EPB41L3/CAMK2G/SNCA/NSF/RABEP1/VPS35/OLFM1",20
"GO:0048268","clathrin coat assembly","5/369","22/16221",0.227272727272727,9.99076127124908,6.4381379789155,0.000113465562131591,0.0130803100025298,0.0130803100025298,"NSG2/CLTC/CALY/HIP1R/AP2S1",5
"GO:0070050","neuron cellular homeostasis","7/369","53/16221",0.132075471698113,5.80595183310324,5.3466994802529,0.000186479795964599,0.0208443823753509,0.0208443823753509,"CACNB2/ATP6V1H/ATP6V1E1/ATP6V1B2/ATP6V1F/SV2B/ATP6V1G2",7
"GO:0060341","regulation of cellular localization","25/369","497/16221",0.0503018108651912,2.21123488900885,4.18428853994921,0.000188047863205803,0.0208443823753509,0.0208443823753509,"RUFY3/CLTC/STX8/ANP32B/NDRG4/ERLEC1/PAK1/CHRM1/GPER1/GNAS/TMEM97/ZBED6/EZR/NEAT1/WNK1/SEPTIN8/DYNC1H1/RAB11A/EPB41L3/CAMK2G/DYNC1I1/YWHAB/VPS35/OLFM1/LARGE1",25
"GO:0010821","regulation of mitochondrion organization","10/369","110/16221",0.0909090909090909,3.99630450849963,4.81080349378391,0.000204682158031158,0.022260150167766,0.022260150167766,"AKT3/MLLT11/GPER1/GHITM/MICU1/RAP1GDS1/FAM162A/CASP6/HIP1R/VPS35",10
"GO:0016188","synaptic vesicle maturation","5/369","25/16221",0.2,8.79186991869919,5.94845787056537,0.000216427897939498,0.0231016741430234,0.0231016741430234,"ATP6V1H/ATP6V1E1/ATP6V1B2/ATP6V1F/ATP6V1G2",5
"GO:0072657","protein localization to membrane","22/369","421/16221",0.0522565320665083,2.29716316165537,4.11437324516753,0.000269251352094676,0.028217541699522,0.028217541699522,"DPP6/CLTC/STX8/RAB6A/CACNB2/PRKCZ/GPER1/GPHN/PACS2/EZR/WNK1/KCNIP4/RAB11A/RRAGA/PREPL/EPB41L3/CAMK2G/NSF/RABEP1/VPS35/OLFM1/LARGE1",22
"GO:0071357","cellular response to type I interferon","10/369","115/16221",0.0869565217391304,3.82255213856486,4.63440113659115,0.000294319714655914,0.030293907772798,0.030293907772798,"PSMC1/METTL3/PSMD4/PSMD1/PSMA1/CDC37/PSMB2/PSMD14/PSMB7/PSMB3",10
"GO:0140238","presynaptic endocytosis","8/369","76/16221",0.105263157894737,4.6272999572101,4.8357942933336,0.000325530366121872,0.0329185443916925,0.0329185443916925,"DNM3/CALM1/AP3M2/CALM2/SNCA/AP2S1/AMPH/AAK1",8
"GO:0030705","cytoskeleton-dependent intracellular transport","14/369","210/16221",0.0666666666666667,2.93062330623306,4.29629940608752,0.000331580939729445,0.0329522851138021,0.0329522851138021,"RUFY3/LRPPRC/ACTR10/RAB6A/TUBA1C/CDC42/TUBA1A/RABGEF1/MAP6/TUBB/AP3M2/DYNC1H1/DYNC1I1/TUBA1B",14
"GO:0072524","pyridine-containing compound metabolic process","12/369","163/16221",0.0736196319018405,3.23627113571749,4.37793299013195,0.000358275912554252,0.0350017349146222,0.0350017349146222,"TPI1/UCHL1/MDH1/GPI/GOT1/PFKM/GOT2/PLPBP/ENO2/MDH2/LDHA/NMNAT2",12
"GO:0021762","substantia nigra development","6/369","43/16221",0.13953488372093,6.13386273397618,5.14295401352674,0.000398292795789343,0.0376553690830242,0.0376553690830242,"YWHAH/CDC42/CALM1/CALM2/LDHA/INA",6
"GO:0051650","establishment of vesicle localization","13/369","189/16221",0.0687830687830688,3.0236589667484,4.26944036600731,0.000398504079469895,0.0376553690830242,0.0376553690830242,"PDCD6/DNM3/PDZD11/SNAP25/CADPS/TSG101/AP3M2/MKKS/RAB11A/TRAPPC12/SNCA/DYNC1I1/CUL3",13
"GO:0034340","response to type I interferon","10/369","121/16221",0.0826446280991736,3.63300409863603,4.43534961331797,0.000443052581473497,0.041189598058278,0.041189598058278,"PSMC1/METTL3/PSMD4/PSMD1/PSMA1/CDC37/PSMB2/PSMD14/PSMB7/PSMB3",10
"GO:0006418","tRNA aminoacylation for protein translation","6/369","44/16221",0.136363636363636,5.99445676274945,5.06130115739797,0.00045245730417019,0.0413619646581587,0.0413619646581587,"WARS1/KARS1/IARS1/AARS1/SARS1/EPRS1",6
"GO:0072659","protein localization to plasma membrane","16/369","269/16221",0.0594795539033457,2.61468250370236,4.07429325629352,0.000459258455607591,0.0413619646581587,0.0413619646581587,"DPP6/CLTC/STX8/CACNB2/PRKCZ/GPER1/PACS2/EZR/WNK1/KCNIP4/RAB11A/PREPL/EPB41L3/CAMK2G/NSF/VPS35",16
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","6/369","45/16221",0.133333333333333,5.86124661246613,4.98212841648248,0.000512194746476738,0.0454198541337218,0.0454198541337218,"NDUFAB1/NDUFS7/NDUFA9/COXFA4/NDUFA7/SNCA",6
