"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"222125_s_at",-1.27870237504072,9.79714365223216,-10.5509025472649,2.94062550549662e-20,4.46607498647299e-17,35.4027149247456
"213486_at",-1.73334016546568,11.0886802197032,-10.5270330023137,3.42442009144723e-20,5.06027482432101e-17,35.2540561646736
"201519_at",-1.21553061742346,10.8698087562197,-10.5151359910501,3.69441558269009e-20,5.31558347325213e-17,35.1799851257296
"208678_at",-1.74216777150144,10.6825286274536,-10.3604890796375,9.89290279094494e-20,1.38690887203824e-16,34.2186053024316
"242239_at",1.76448887095378,9.61592227907538,10.3243451643223,1.24487077889911e-19,1.68612065803812e-16,33.9943174307848
"202279_at",-1.14832417583914,11.5821991550734,-10.3193176682012,1.28528849407892e-19,1.68612065803812e-16,33.9631323452277
"234989_at",2.43775174757015,9.30549936559078,10.3181043989962,1.29523671948059e-19,1.68612065803812e-16,33.9556070148427
"223857_x_at",-1.22875819546554,9.16179646034901,-10.2964322339973,1.48644596097628e-19,1.8900333236367e-16,33.8212154812527
"235850_at",-1.28480465993364,8.54707570852834,-10.2804892605656,1.64484171870048e-19,2.04390274931702e-16,33.7223885349458
"224879_at",-1.12227629732184,8.37364747378943,-10.2538153167447,1.94834779610772e-19,2.36724257227088e-16,33.5571140715678
"237768_x_at",1.6559631653322,7.90708613161629,10.2370755186818,2.16670214629476e-19,2.57531390975361e-16,33.4534387028835
"232795_at",1.86857652980489,7.37537332232159,10.2198731601056,2.41651885513396e-19,2.81113124264786e-16,33.3469359894291
"217717_s_at",-1.46729503757334,9.31999961199859,-10.2090050508898,2.5889411279756e-19,2.94896575358471e-16,33.2796694090482
"234762_x_at",1.51317638533594,11.2279723094864,10.1962748392335,2.80655774519704e-19,3.1316029534418e-16,33.2008971774336
"43427_at",1.74560006723431,8.70363467974216,10.193040735203,2.86468839836182e-19,3.13253676360865e-16,33.1808885081719
"204465_s_at",-1.87769452911166,10.5769399818478,-10.1874011067205,2.96894188944497e-19,3.16166273885301e-16,33.1460006899975
"201313_at",-1.41297513793054,10.7768421442926,-10.185392604538,3.00697690755111e-19,3.16166273885301e-16,33.1335767227423
"218953_s_at",-1.45319140020873,7.88627528243484,-10.1769114344048,3.17301336647265e-19,3.27329256248853e-16,33.0811207220996
"215230_x_at",-1.28343421445683,10.2682627537711,-10.1724918963096,3.26312461272168e-19,3.3039136703807e-16,33.0537896691701
"200786_at",-1.51923117180174,9.26501246807356,-10.1600435989261,3.53087992671569e-19,3.51001563623965e-16,32.9768215745354
"217727_x_at",-1.30707820109244,11.6050716056623,-10.1567096552259,3.60623614760151e-19,3.5209100244663e-16,32.9562112354129
"1568604_a_at",-2.1277684297798,9.01480655221657,-10.126497562127,4.36649991946504e-19,4.18839268590792e-16,32.7695090864804
"223011_s_at",-1.6946672112299,10.291814705867,-10.1183393519149,4.59788548462839e-19,4.26644473738499e-16,32.7191148487156
"226627_at",-1.00013823041324,12.0879201092784,-10.11813152985,4.60393670792345e-19,4.26644473738499e-16,32.7178312254524
"201090_x_at",-1.50045877151119,11.9794615760742,-10.1137167133701,4.73437606719208e-19,4.26895265835535e-16,32.6905642861806
"213465_s_at",-1.52607435741753,8.42036825796738,-10.1127707664773,4.76280040529814e-19,4.26895265835535e-16,32.684722243377
"1555318_at",2.11675967711666,6.10385004939617,10.0821825002872,5.7795658737938e-19,5.09673813144638e-16,32.495879465977
"221494_x_at",-1.13304640231573,9.06450488570644,-10.071408414517,6.18700546647489e-19,5.31036904454595e-16,32.4293943454666
"212923_s_at",1.39776272882579,8.22165479890706,10.0706670918822,6.21606984638209e-19,5.31036904454595e-16,32.4248203599502
"209251_x_at",-1.41861548404023,11.8544062084739,-10.0650716325839,6.43987993082536e-19,5.40317804918649e-16,32.3902986675649
"210976_s_at",-1.31893811341627,10.3324144735105,-10.0630584164123,6.52235484675462e-19,5.40317804918649e-16,32.3778790207504
"207232_s_at",-2.01588458898497,6.20889867717624,-10.0583476968109,6.71947354129476e-19,5.48339128164614e-16,32.3488205417872
"203410_at",-1.54055455615503,9.89517662711826,-10.0549300465436,6.86618923811104e-19,5.52071906755472e-16,32.3277404245229
"230392_at",2.09103592434287,6.42847106539342,10.0488414652973,7.13551755883655e-19,5.65412206564331e-16,32.2901900428214
"234562_x_at",1.88770702334428,8.62156501289821,10.0395188155855,7.56844087390895e-19,5.91149292544245e-16,32.2327041973028
"201577_at",-1.68008480011102,9.04173955138755,-10.0219165461684,8.45846404824505e-19,6.51361298363096e-16,32.1241977696563
"208308_s_at",-1.63932600412756,9.26138610718331,-10.0102004557691,9.10792284871847e-19,6.91632891324559e-16,32.0520003297711
"226062_x_at",1.56897043823581,9.42383814873978,10.007586380145,9.25947736835037e-19,6.93509486458296e-16,32.0358944433131
"224628_at",-1.29216339913543,10.5848425019978,-10.0035270280902,9.4998189963765e-19,7.01895410306601e-16,32.0108858485405
"208936_x_at",-1.28299518453727,8.67449571417004,-9.99995270515422,9.71658375437929e-19,7.08338955694251e-16,31.9888673603166
"232215_x_at",1.4152244525271,11.6907670084837,9.99238899187654,1.01916683487355e-18,7.33196667061988e-16,31.9422795909007
"201387_s_at",-1.974311496476,10.8635971418908,-9.97905266116626,1.10863985286744e-18,7.87206285136721e-16,31.8601563471168
"214762_at",-1.75508403101619,9.45955592989099,-9.97531080013513,1.13512102660298e-18,7.95676181147665e-16,31.8371191578574
"212242_at",-1.57255267880983,10.9274644327313,-9.9447054032013,1.37676170184426e-18,9.5284108921943e-16,31.6487708848767
"213646_x_at",-1.56925619635608,12.2195402849619,-9.93325747372803,1.47977167278195e-18,1.01133145261692e-15,31.5783549961391
